title,link,salary,location
Jr-Mid-level IT Windows Administrator/Support,https://www.sherlocktalent.com/job/3521-jr-mid-level-it-windows-administrator-support/,$45000,Coral Springs
Public Relations – Senior Account Executive,https://www.sherlocktalent.com/job/3519-public-relations-senior-account-executive/,$55000,Miami
C# FinTech Developer,https://www.sherlocktalent.com/job/3514-c-fintech-developer/,$70000,Coral Springs
Remote DevOps Architect (Remote),https://www.sherlocktalent.com/job/3510-remote-devops-architect-remote/,$150000,West Palm Beach
Data Architect,https://www.sherlocktalent.com/job/3506-data-architect/,$115000,Miami
Creative Director,https://www.sherlocktalent.com/job/3489-creative-director/,$100000,Miami
Project Manager – Security/IAM,https://www.sherlocktalent.com/job/3486-project-manager-security-iam/,Depends on Experience,Miami
"Project Manager, IT Security",https://www.sherlocktalent.com/job/3485-project-manager-it-security/,Depends on Experience,Ft. Lauderdale
"Business Process Analyst, App Dev",https://www.sherlocktalent.com/job/3480-business-process-analyst-app-dev/,$90000,Miramar
Technology Manager,https://www.sherlocktalent.com/job/3470-technology-manager/,$80000,Miami
Senior Java Developer,https://www.sherlocktalent.com/job/3469-senior-java-developer/,Depends on Experience,Miami
"Director, Digital Product",https://www.sherlocktalent.com/job/3466-director-digital-product/,$180000,Miami
Node.js / Full Stack Developer,https://www.sherlocktalent.com/job/3462-node-js-full-stack-developer/,$95000,Miami
Director – End User Experience,https://www.sherlocktalent.com/job/3457-director-end-user-experience/,$180000,Miami
"Director, Global Network Services",https://www.sherlocktalent.com/job/3456-director-global-network-services/,$180000,Miami
Chief Information Security Officer – CISO,https://www.sherlocktalent.com/job/3452-chief-information-security-officer-ciso/,$180000,Boca Raton
Graphic Designer,https://www.sherlocktalent.com/job/3449-graphic-designer/,$60000,San Francisco
Director of PR Business Development,https://www.sherlocktalent.com/job/3443-director-of-pr-business-development/,$80000,Miami
Sr. SQL/Full Stack Developer,https://www.sherlocktalent.com/job/3437-sr-sql-full-stack-developer/,$100000,Fort Lauderdale
BI Analyst,https://www.sherlocktalent.com/job/3431-bi-analyst/,Depends on Experience,Coral Gables
Java  Developer,https://www.sherlocktalent.com/job/3430-java-developer/,$145000,REMOTE
IT Security – Director,https://www.sherlocktalent.com/job/3425-it-security-director/,$170000,Boca Raton
Public Relations –  Account Supervisor,https://www.sherlocktalent.com/job/3420-public-relations-account-supervisor/,$70000,Miami
Public Relations – Account Coordinator,https://www.sherlocktalent.com/job/3419-public-relations-account-coordinator/,$45000,Miami
Bilingual IBM Project Manager – Technical (Remote),https://www.sherlocktalent.com/job/3414-bilingual-ibm-project-manager-technical-remote/,$100000,Boca Raton
Sr. Security Development Engineer,https://www.sherlocktalent.com/job/3410-sr-security-development-engineer/,Depends on Experience,Miami
Developer – Magento,https://www.sherlocktalent.com/job/3408-developer-magento/,$150000,Boca Raton
Public Relations – Account Executive,https://www.sherlocktalent.com/job/3406-public-relations-account-executive/,$50000,Miami
Lead QA – Analyst,https://www.sherlocktalent.com/job/3395-lead-qa-analyst/,$85000,Fort Lauderdale
SharePoint – Developer – Admin,https://www.sherlocktalent.com/job/3388-sharepoint-developer-admin/,$120000,Boca Raton
Business Analyst – Medicare C & D,https://www.sherlocktalent.com/job/3383-business-analyst-medicare-c-d/,$75000,Fort Lauderdale
Marketing Manager – BD,https://www.sherlocktalent.com/job/3373-marketing-manager-bd/,$65000,Miami
IT Director – Micros Systems,https://www.sherlocktalent.com/job/3359-it-director-micros-systems/,$170000,Fort Lauderdale
Business Continuity and Disaster Recovery Analyst & Project Manager (two roles),https://www.sherlocktalent.com/job/3349-business-continuity-and-disaster-recovery-analyst-project-manager-two-roles/,$100000,Coral Springs
Product Manager- MAPD/PDP,https://www.sherlocktalent.com/job/3339-product-manager-mapd-pdp/,$110000,Fort Lauderdale
Business Analyst – Medicare Enrollment,https://www.sherlocktalent.com/job/3334-business-analyst-medicare-enrollment/,$75000,Fort Lauderdale
Java Developer – Mid Level (Contract),https://www.sherlocktalent.com/job/3312-java-developer-mid-level-contract/,Depends on Experience,Miami
QA Analyst,https://www.sherlocktalent.com/job/3308-qa-analyst/,$75000,Ft. Lauderdale
Software Developer (Junior and Mid),https://www.sherlocktalent.com/job/3159-software-developer-junior-and-mid/,$70000,Coral Gables
